NodeOne,Relation,NodeTwo,NodeClass
 Sales Executive, requiresSkill, CRM
 Sales Executive, requiresSkill, Negotiation Skills
 Sales Executive, requiresSkill, MS Office
 Sales Executive, requiresSkill, Database Management
 Sales Executive, requiresSkill, Communication Skills
 Sales Executive, requiresSkill, Problem Solving
 Sales Executive, belongsToIndustry, Finance
 Sales Executive, belongsToIndustry, Retail
 Sales Executive, belongsToIndustry, IT Sales
 Sales Executive, belongsToIndustry, Banking
 Sales Executive, belongsToIndustry, Wholesale and Distribution
 Sales Executive, belongsToIndustry, B2B Sales
 Sales Executive, belongsToIndustry, Consumer Goods and FMCG
 Sales Executive, belongsToIndustry, Telecommunications
 Sales Executive, belongsToIndustry, Construction and Building Materials
 Sales Executive, belongsToIndustry, Education and Training
 Sales Executive, belongsToIndustry, Hospitality Industry
 Sales Executive, belongsToIndustry, Pharmaceutical Industry
 Sales Executive, belongsToIndustry, Automotive Industry
 Sales Executive, belongsToIndustry, Real Estate
 Sales Executive, belongsToIndustry, Luxury Goods
 Sales Executive, belongsToIndustry, Travel and Tourism
 Sales Executive, belongsToIndustry, Entertainment and Media
 Sales Executive, belongsToIndustry, Security Services
 Sales Executive, belongsToIndustry, Sports and Recreation
 Sales Executive, belongsToIndustry, Human Resources and Recruitment
 Sales Executive, requiresJobPreference, WFH
 Sales Executive, requiresJobPreference, Office
 Sales Executive, requiresJobPreference, Field Jobs
 Sales Executive, requiresContractType, Full-time
 Sales Executive, requiresContractType, Part-time
 Sales Executive, requiresContractType, Contract roles
 Sales Executive, requiresShift, Rotational shifts
 Sales Executive, requiresShift, Fixed Shift
 Sales Executive, requiresShift, Night shift
 Sales Executive, languageProficiency, English
 Sales Executive, languageProficiency, Hindi
 Sales Executive, languageProficiency, Regional languages
 Sales Executive, salaryBenefit, Performance-based incentives
 Sales Executive, salaryBenefit, Transport Allowance
 Sales Executive, salaryBenefit, Food Allowance
 Sales Executive, salaryBenefit, Accommodation Allowance
 Sales Executive, salaryBenefit, GYM Memberships
 Sales Executive, salaryBenefit, OTT Subscription
 Inside Sales, requiresSkill, CRM
 Inside Sales, requiresSkill, Negotiation Skills
 Inside Sales, requiresSkill, MS Office
 Inside Sales, requiresSkill, Database Management
 Inside Sales, requiresSkill, Communication Skills
 Inside Sales, requiresSkill, Problem Solving
 Inside Sales, belongsToIndustry, Finance
 Inside Sales, belongsToIndustry, Retail
 Inside Sales, belongsToIndustry, IT Sales
 Inside Sales, belongsToIndustry, Banking
 Inside Sales, belongsToIndustry, Wholesale and Distribution
 Inside Sales, belongsToIndustry, B2B Sales
 Inside Sales, belongsToIndustry, Consumer Goods and FMCG
 Inside Sales, belongsToIndustry, Telecommunications
 Inside Sales, belongsToIndustry, Construction and Building Materials
 Inside Sales, belongsToIndustry, Education and Training
 Inside Sales, belongsToIndustry, Hospitality Industry
 Inside Sales, belongsToIndustry, Pharmaceutical Industry
 Inside Sales, belongsToIndustry, Automotive Industry
 Inside Sales, belongsToIndustry, Real Estate
 Inside Sales, belongsToIndustry, Luxury Goods
 Inside Sales, belongsToIndustry, Travel and Tourism
 Inside Sales, belongsToIndustry, Entertainment and Media
 Inside Sales, belongsToIndustry, Security Services
 Inside Sales, belongsToIndustry, Sports and Recreation
 Inside Sales, belongsToIndustry, Human Resources and Recruitment
 Inside Sales, requiresJobPreference, WFH
 Inside Sales, requiresJobPreference, Office
 Inside Sales, requiresJobPreference, Field Jobs
 Inside Sales, requiresContractType, Full-time
 Inside Sales, requiresContractType, Part-time
 Inside Sales, requiresContractType, Contract roles
 Inside Sales, requiresShift, Rotational shifts
 Inside Sales, requiresShift, Fixed Shift
 Inside Sales, requiresShift, Night shift
 Inside Sales, languageProficiency, English
 Inside Sales, languageProficiency, Hindi
 Inside Sales, languageProficiency, Regional languages
 Inside Sales, salaryBenefit, Performance-based incentives
 Inside Sales, salaryBenefit, Transport Allowance
 Inside Sales, salaryBenefit, Food Allowance
 Inside Sales, salaryBenefit, Accommodation Allowance
 Inside Sales, salaryBenefit, GYM Memberships
 Inside Sales, salaryBenefit, OTT Subscription
 Sales Representative, requiresSkill, CRM
 Sales Representative, requiresSkill, Negotiation Skills
 Sales Representative, requiresSkill, MS Office
 Sales Representative, requiresSkill, Database Management
 Sales Representative, requiresSkill, Communication Skills
 Sales Representative, requiresSkill, Problem Solving
 Sales Representative, belongsToIndustry, Finance
 Sales Representative, belongsToIndustry, Retail
 Sales Representative, belongsToIndustry, IT Sales
